new_id,old_id,year,venue,title,concern_level,reason,metadata_source,paper_url,evidence
P014,P039,2025,NeurIPS 2025,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://neurips.cc/virtual/2025/poster/116800,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing. NeurIPS Poster Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing
P016,P047,2025,ICML 2025,Retraining with Predicted Hard Labels Provably Increases Model Accuracy.,Medium,main framing looks outside standard Classification LNL: pseudo-label/retraining theory rather than noisy-label benchmarks; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://proceedings.mlr.press/v267/das25b.html,"Retraining with Predicted Hard Labels Provably Increases Model Accuracy. Retraining with Predicted Hard Labels Provably Increases Model Accuracy Retraining with Predicted Hard Labels Provably Increases Model AccuracyRudrajit Das, Inderjit S"
P038,P134,2024,ICLR 2024,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks.,Medium,title/abstract contains non-standard task/domain cues: open-set/OOD setting,openreview-api,https://openreview.net/forum?id=TjhUtloBZU,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks. Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks Pre-training on large-scale datasets and then fine-tuning on downstream tasks
P044,P150,2024,CVPR 2024,L2B: Learning to Bootstrap Robust Models for Combating Label Noise.,High,"title/abstract contains non-standard task/domain cues: segmentation; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_L2B_Learning_to_Bootstrap_Robust_Models_for_Combating_Label_Noise_CVPR_2024_paper.html,elivers competitive results spanning natural and medical imaging tasks including classification and segmentation under both synthetic and real-world noise. Extensive experiments demonstrate that our method effectively mitigates the challenges of noisy
P054,P171,2024,AAAI 2024,Contrastive Credibility Propagation for Reliable Semi-supervised Learning.,Medium,"title/abstract contains non-standard task/domain cues: open-set/OOD setting; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://ojs.aaai.org/index.php/AAAI/article/view/30124,"baseline. Using benchmark datasets, we craft five common real-world SSL data scenarios: few-label, open-set, noisy-label, and class distribution imbalance/misalignment in the labeled and unlabeled sets. We propose a novel algorithm called Contrast"
P066,P204,2023,NeurIPS 2023,Label Poisoning is All You Need.,High,title/abstract contains non-standard task/domain cues: data-poisoning/backdoor setting; main framing looks outside standard Classification LNL: knowledge distillation/label smoothing focus; label poisoning/backdoor attack; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://arxiv.org/abs/2310.18933,"Label Poisoning is All You Need. Label Poisoning is All You Need In a backdoor attack, an adversary injects corrupted data into a model's training dataset in order to gain control over its predictions on images with a specific attacker-defi"
P067,P205,2023,NeurIPS 2023,IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers.,Medium,main framing looks outside standard Classification LNL: robust data augmentation rather than LNL; title/abstract lacks explicit noisy-label or label-noise wording,openreview-api,https://openreview.net/forum?id=No52399wXA,IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers. IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers Data augmentation has been proven effective for training high-accuracy convol
P074,P225,2023,ICML 2023,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity.",Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://proceedings.mlr.press/v202/zhu23o.html,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity. Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity Label Distributionally"
P077,P234,2023,ICLR 2023,Memorization-Dilation: Modeling Neural Collapse Under Noise.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct+semantic-scholar,,Memorization-Dilation: Modeling Neural Collapse Under Noise. Memorization-Dilation: Modeling Neural Collapse Under Noise
P080,P237,2023,ICLR 2023,SoftMatch: Addressing the Quantity-Quality Tradeoff in Semi-supervised Learning.,Medium,main framing looks outside standard Classification LNL: semi-supervised learning rather than noisy-label learning,direct,,SoftMatch: Addressing the Quantity-Quality Tradeoff in Semi-supervised Learning.
