new_id,old_id,new_anchor,old_anchor,year,venue,title,paper_links,code_links,source_line
P001,P001,paper-001,paper-001,2026,ICLR 2026,Enhancing Learning with Noisy Labels via Rockafellian Relaxation.,https://openreview.net/forum?id=g4EpGiN5X3,,331
P002,P002,paper-002,paper-002,2026,ICLR 2026,TrainRef: Curating Data with Label Distribution and Minimal Reference for Accurate Prediction and Reliable Confidence.,https://openreview.net/forum?id=jSs8CDsF0A,,335
P003,P003,paper-003,paper-003,2026,ICLR 2026,Resurfacing the Instance-only Dependent Label Noise Model through Loss Correction.,https://openreview.net/forum?id=tuvkrivvbG,,340
P004,P014,paper-004,paper-014,2026,CVPR 2026,Deconstructing the Failure of Ideal Noise Correction: A Three-Pillar Diagnosis.,https://arxiv.org/abs/2603.12997,,410
P005,P015,paper-005,paper-015,2026,CVPR 2026,Debiased Sample Selection for Learning with Noisy Labels.,https://www.eric-weiwei.com/,,415
P006,P019,paper-006,paper-019,2026,AAAI 2026,Leveraging Dissimilarity Invariance as a Robust Anchor for Learning with Noisy Labels.,https://ojs.aaai.org/index.php/AAAI/article/view/37381,,442
P007,P020,paper-007,paper-020,2026,AAAI 2026,On the Learning Dynamics of Two-layer Linear Networks with Label Noise SGD.,https://arxiv.org/abs/2603.10397,,447
P008,P021,paper-008,paper-021,2026,AAAI 2026,Is the Information Bottleneck Robust Enough? Towards Label-Noise Resistant Information Bottleneck Learning.,https://arxiv.org/abs/2512.10573,,452
P009,P032,paper-009,paper-032,2026,Top Journals 2026,Continuous Review and Timely Correction: Enhancing the Resistance to Noisy Labels via Self-Not-True and Class-Wise Distillation. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2025.3649111,,523
P010,P033,paper-010,paper-033,2026,Top Journals 2026,Affinity-aware Uncertainty Quantification for Learning with Noisy Labels. (Published on Pattern Recognition),https://www.sciencedirect.com/science/article/pii/S0031320325011586,,527
P011,P036,paper-011,paper-036,2025,NeurIPS 2025,Learning to Clean: Reinforcement Learning for Noisy Label Correction.,https://nips.cc/virtual/2025/poster/115438,,547
P012,P037,paper-012,paper-037,2025,NeurIPS 2025,Enhancing Sample Selection Against Label Noise by Cutting Mislabeled Easy Examples.,https://neurips.cc/virtual/2025/poster/118281,,551
P013,P038,paper-013,paper-038,2025,NeurIPS 2025,Handling Label Noise via Instance-Level Difficulty Modeling and Dynamic Optimization.,https://nips.cc/virtual/2025/poster/116524,https://github.com/iTheresaApocalypse/IDO,555
P014,P039,paper-014,paper-039,2025,NeurIPS 2025,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing.,https://neurips.cc/virtual/2025/poster/116800,,559
P015,P046,paper-015,paper-046,2025,ICML 2025,On the Role of Label Noise in the Feature Learning Process.,https://proceedings.mlr.press/v267/han25c.html,,601
P016,P047,paper-016,paper-047,2025,ICML 2025,Retraining with Predicted Hard Labels Provably Increases Model Accuracy.,https://proceedings.mlr.press/v267/das25b.html,,606
P017,P064,paper-017,paper-064,2025,ICCV 2025,CA2C: A Prior-Knowledge-Free Approach for Robust Label Noise Learning via Asymmetric Co-learning and Co-training.,https://openaccess.thecvf.com/content/ICCV2025/html/Sheng_CA2C_A_Prior-Knowledge-Free_Approach_for_Robust_Label_Noise_Learning_via_ICCV_2025_paper.html,,715
P018,P065,paper-018,paper-065,2025,ICCV 2025,Meta-Learning Dynamic Center Distance: Hard Sample Mining for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2025/html/Mu_Meta-Learning_Dynamic_Center_Distance_Hard_Sample_Mining_for_Learning_with_ICCV_2025_paper.html,,720
P019,P066,paper-019,paper-066,2025,ICCV 2025,Joint Asymmetric Loss for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Joint_Asymmetric_Loss_for_Learning_with_Noisy_Labels_ICCV_2025_paper.html,https://github.com/cswjl/joint-asymmetric-loss,725
P020,P070,paper-020,paper-070,2025,AAAI 2025,Combating Semantic Contamination in Learning with Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/32293,,752
P021,P071,paper-021,paper-071,2025,AAAI 2025,Enhancing Noise-Robust Losses for Large-Scale Noisy Data Learning.,https://ojs.aaai.org/index.php/AAAI/article/view/32752,,757
P022,P072,paper-022,paper-072,2025,AAAI 2025,SAP: Corrective Machine Unlearning with Scaled Activation Projection for Label Noise Robustness.,https://ojs.aaai.org/index.php/AAAI/article/view/33972,,761
P023,P073,paper-023,paper-073,2025,AAAI 2025,Learning Causal Transition Matrix for Instance-dependent Label Noise.,https://arxiv.org/abs/2412.13516,,767
P024,P074,paper-024,paper-074,2025,AAAI 2025,Label Noise Correction via Fuzzy Learning Machine.,https://ojs.aaai.org/index.php/AAAI/article/view/34055,,771
P025,P075,paper-025,paper-075,2025,AAAI 2025,Enhanced Sample Selection with Confidence Tracking: Identifying Correctly Labeled Yet Hard-to-Learn Samples in Noisy Data.,https://arxiv.org/abs/2504.17474,,776
P026,P076,paper-026,paper-076,2025,AAAI 2025,Noisy Label Calibration for Multi-View Classification.,https://ojs.aaai.org/index.php/AAAI/article/view/35485/37640,,781
P027,P077,paper-027,paper-077,2025,AAAI 2025,Revisiting Interpolation for Noisy Label Correction.,https://ojs.aaai.org/index.php/AAAI/article/view/35489,,785
P028,P078,paper-028,paper-078,2025,AAAI 2025,Learning from Noisy Labels via Self-Taught On-the-Fly Meta Loss Rescaling.,https://arxiv.org/abs/2412.12955,,790
P029,P092,paper-029,paper-092,2025,Top Journals 2025,SplitNet: Learnable Clean-Noisy Label Splitting for Learning with Noisy Labels. (Published on IJCV),https://link.springer.com/article/10.1007/s11263-024-02187-4,,884
P030,P093,paper-030,paper-093,2025,Top Journals 2025,Improving the Instance-Dependent Transition Matrix Estimation by Exploiting Self-Supervised Learning. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2025.3595613,,888
P031,P097,paper-031,paper-097,2024,Neurips 2024,Learning the Latent Causal Structure for Modeling Label Noise.,https://nips.cc/virtual/2024/poster/93700,,912
P032,P098,paper-032,paper-098,2024,Neurips 2024,Learning from Noisy Labels via Conditional Distributionally Robust Optimization.,https://nips.cc/virtual/2024/poster/96820,,916
P033,P099,paper-033,paper-099,2024,Neurips 2024,Label Noise: Ignorance Is Bliss.,https://nips.cc/virtual/2024/poster/94205,,920
P034,P113,paper-034,paper-113,2024,ICML 2024,Pi-DUAL: Using privileged information to distinguish clean from noisy labels.,https://proceedings.mlr.press/v235/wang24bb.html,,999
P035,P114,paper-035,paper-114,2024,ICML 2024,Self-cognitive Denoising in the Presence of Multiple Noisy Label Sources.,https://proceedings.mlr.press/v235/sun24o.html,,1003
P036,P115,paper-036,paper-115,2024,ICML 2024,(KDD 2025) CLID-MU: Cross-Layer Information Divergence Based Meta Update Strategy for Learning with Noisy Labels.,https://doi.org/10.1145/3711896.3736880,,1007
